article_id,comment_author,comment_counter,comment_text,njudgements_constructiveness_expt,njudgements_toxicity_expt,agree_constructiveness_expt,agree_toxicity_expt,constructive,crowd_toxicity_level,has_content,crowd_discard,constructive_characteristics,non_constructive_characteristics,toxicity_characteristics,crowd_comments_constructiveness_expt,crowd_comments_toxicity_expt,other_con_chars,other_noncon_chars,other_toxic_chars,constructive_binary,pp_comment_text
22388259,325,source1_22388259_153,"Fair enough; but, in your defence, you might have cited Section 1 of our Charter of Rights and Freedoms, better known as 'the reasonable limits clause' based on 'the greater harm' theory. For those readers out there who are unfamiliar with this important inclusion in our Charter, it more or less states that our fundamental freedoms, including the 'freedom of expression' are guaranteed unless it can be established on balance of the evidence, that granting such a freedom could lead to a 'greater harm' rather than a 'greater good', in which case, restriction of that right would become justified. Hence, free speech has its limits in our free and democratic society, unlike in the U.S.A. where no such 'reasonable limits clause' was included in its constitution.'Tis the basis upon which the open incitement of hatred and/or dissemination of hate-related materials are restricted under our nation's 'hate' laws. That said, what many of us eagerly await is the Globe & Mail's editorial opinion condemning the fact that our Prime Minister was not arm-in-arm, in solidarity, with other G20 world leaders, excluding Obama, at the front of the 3 million-plus people's Paris march; or, is it the view of the Globe & Mail that attending John A. MacDonald's 200th birthday party, and photo-op, was more important?",5.0,5.0,0.9,0.6,0.9,1.0,"



","



","evidence:3
dialogue:3
specific_points:2","no_non_con:3
unsubstantial:1
provocative:1",no_toxic:5,"



","



","



","



","



",1.0,"Fair enough ; but , in your defence , you might have cited Section 1 of our Charter of Rights and Freedoms , better known as the reasonable limits clause based on the greater harm theory . For those readers out there who are unfamiliar with this important inclusion in our Charter , it more or less states that our fundamental freedoms , including the freedom of expression are guaranteed unless it can be established on balance of the evidence , that granting such a freedom could lead to a greater harm rather than a greater good , in which case , restriction of that right would become justified . Hence , free speech has its limits in our free and democratic society , unlike in the U.S.A. where no such reasonable limits clause was included in its constitution.Tis the basis upon which the open incitement of hatred and/or dissemination of hate-related materials are restricted under our nations hate laws . That said , what many of us eagerly await is the Globe & Mails editorial opinion condemning the fact that our Prime Minister was not arm-in-arm , in solidarity , with other G20 world leaders , excluding Obama , at the front of the 3 million-plus peoples Paris march ; or , is it the view of the Globe & Mail that attending John A. MacDonalds 200th birthday party , and photo-op , was more important ?"
19301124,2204,source1_19301124_157,"Billions of dollars are lost every year in tax evasion by Americans and Canadians through overseas accounts in Caribbean, Swiss and other offshore havens. I wish there was a better way to determine who is declaring residency to evade tax and who has genuinely moved. I was paying Canadian taxes (through dual income treaty) when I was working in the US (that amounted to a significant pay cut) but I did not mind because I maintained ties with Canada. I am sure Wente can find a way to renounce all ties with US without giving up her citizenship... which brings me to the other pet peeve of mine... why is Canada allowing people to keep their dual citizenship? Who are these folks loyal to - Canada or Pakistan, Libya, US or England? Pick a team already!",5.0,5.0,0.8,0.4,0.9,1.0,"



","



","specific_points:4
personal_story:2
dialogue:2","no_non_con:3
sarcastic:1
provocative:1",no_toxic:5,"



","



","



","



","



",1.0,"Billions of dollars are lost every year in tax evasion by Americans and Canadians through overseas accounts in Caribbean , Swiss and other offshore havens . I wish there was a better way to determine who is declaring residency to evade tax and who has genuinely moved . I was paying Canadian taxes ( through dual income treaty ) when I was working in the US ( that amounted to a significant pay cut ) but I did not mind because I maintained ties with Canada . I am sure Wente can find a way to renounce all ties with US without giving up her citizenship ... which brings me to the other pet peeve of mine ... why is Canada allowing people to keep their dual citizenship ? Who are these folks loyal to - Canada or Pakistan , Libya , US or England ? Pick a team already !"
33424030,811,source2_33424030_12,".'For the first time this century, the United States was not the problem. The world's agenda was no longer largely devoted to finding ways to deal with what Washington had just done, or to work around the Americans to accomplish something.'Compassion, grace, intelligence, integrity, common sense..................That is / was President Obama. History will judge President Obama as one of the best United States Presidents. And rightly so..",5.0,5.0,0.9,0.8,0.9,1.0,"



","



","evidence:2
specific_points:2
dialogue:1
solution:1",no_non_con:5,"no_toxic:4
inflammatory:1","



","



","



","



","



",1.0,".For the first time this century , the United States was not the problem . The worlds agenda was no longer largely devoted to finding ways to deal with what Washington had just done , or to work around the Americans to accomplish something.Compassion , grace , intelligence , integrity , common sense ... ... ... ... ... ... That is / was President Obama . History will judge President Obama as one of the best United States Presidents . And rightly so.."
27910240,2205,source1_27910240_89,"1)As long as Ontarians are reminded of Mike Harris' Common Sense Revolution, the Conservatives will not win in Ontario; 2) As long as Canadians are reminded of Stephen Harper, Canadians will turn away from the Conservatives. 3) As long as Conservatives continue to believe in the policies of Harris and Harper, the Liberals will win more elections.",5.0,5.0,0.8,0.9,0.9,1.0,"



","



","evidence:3
dialogue:3
specific_points:2
personal_story:1","no_non_con:4
unsubstantial:1",no_toxic:5,"



","



","



","



","



",1.0,"1 ) As long as Ontarians are reminded of Mike Harris Common Sense Revolution , the Conservatives will not win in Ontario ; 2 ) As long as Canadians are reminded of Stephen Harper , Canadians will turn away from the Conservatives . 3 ) As long as Conservatives continue to believe in the policies of Harris and Harper , the Liberals will win more elections ."
26842506,2206,source1_26842506_404,"'Canada's National newspaper' has failed us again. Shameful journalism! Canadians deserve better. For fact and truth, may I suggest, 'The Guardian,' Britain's respected newspaper? The Guardian, has published an apt review of Harper's tenure. For fact and truth, read :http://www.theguardian.com/world/2015/oct/15/stephen-harper-master-manipulator",7.0,5.0,0.86,0.6,0.86,1.8,"no



yes","discard



","solution:3
specific_points:2
no_con:1
dialogue:1
evidence:1
personal_story:1","no_non_con:4
provocative:3
no_respect:2
sarcastic:2
unsubstantial:1","no_toxic:3
abusive:1
personal_attack:1
embarrassment:1","





","



","





","





","



",1.0,"Canadas National newspaper has failed us again . Shameful journalism ! Canadians deserve better . For fact and truth , may I suggest , The Guardian , Britains respected newspaper ? The Guardian , has published an apt review of Harpers tenure . For fact and truth , read : http : //www.theguardian.com/world/2015/oct/15/stephen-harper-master-manipulator"
27730073,1561,source1_27730073_165,Dalton this is the make up of Ontario electrical supplies. Note that 5% of it has cost the consumer billions in Ontario without having a significant impact on anything but the cost of subsidized energy to the taxpayer. nuclear (58%) hydroelectric (23%) natural gas (11%) coal (2%) wind (4%) solar (1%) bioenergy (1%),7.0,5.0,0.71,0.6,0.86,1.0,"



","



","evidence:3
solution:3
specific_points:1
no_con:1
dialogue:1
personal_story:1","no_non_con:5
non_relevant:1
no_respect:1
unsubstantial:1
sarcastic:1",no_toxic:5,"





","



","





","





","



",1.0,Dalton this is the make up of Ontario electrical supplies . Note that 5 % of it has cost the consumer billions in Ontario without having a significant impact on anything but the cost of subsidized energy to the taxpayer . nuclear ( 58 % ) hydroelectric ( 23 % ) natural gas ( 11 % ) coal ( 2 % ) wind ( 4 % ) solar ( 1 % ) bioenergy ( 1 % )
27730073,2207,source1_27730073_194,"Some people are asking the G&M not to print any future articles by this incompetent individual. It just goes to show you that true journalism disappeared a long time ago. G&M knew the response would be negative and they know he is a clown, but hey anything for a buck right...",5.0,6.0,1.0,0.67,0.8,2.33,"yes

yes
yes
no
no","

discard
discard
discard
","solution:2
specific_points:2
no_con:1
evidence:1","no_non_con:3
no_respect:1
non_relevant:1","personal_attack:4
no_toxic:2
teasing:2
embarrassment:2
inflammatory:1","



","




","



","



","




",1.0,"Some people are asking the G & M not to print any future articles by this incompetent individual . It just goes to show you that true journalism disappeared a long time ago . G & M knew the response would be negative and they know he is a clown , but hey anything for a buck right ..."
33424030,2208,source2_33424030_109,"'For the first time this century, the United States was not the problem.' Wow!! This guy is deluded. We've just witnessed the biggest failure in foreign policy by the American'English peoples since Neville Chamberlain. Millions of people in tragedy on a scale not seen since the second war and this guy thinks this was a golden age. That is absolutely, definitively, NOT how history will treat this period. For his foreign policy failures and his domestic partisan racial politics Obama will go down as an epic disaster. His only legacy is his skin colour.",5.0,5.0,0.7,0.3,0.8,2.2,"no


no
no","discard


discard
discard","solution:2
dialogue:2
specific_points:1
evidence:1
no_con:1","no_non_con:4
sarcastic:1","abusive:3
no_toxic:2
inflammatory:1
teasing:1","



","



","



","



","



",1.0,"For the first time this century , the United States was not the problem . Wow ! ! This guy is deluded . Weve just witnessed the biggest failure in foreign policy by the AmericanEnglish peoples since Neville Chamberlain . Millions of people in tragedy on a scale not seen since the second war and this guy thinks this was a golden age . That is absolutely , definitively , NOT how history will treat this period . For his foreign policy failures and his domestic partisan racial politics Obama will go down as an epic disaster . His only legacy is his skin colour ."
26842506,2209,source2_26842506_454,"'But choose, voters must.' Apparently not the Globe, though. You have twisted yourselves like a pretzel, into such an untenable position that I am left speechless. What's next in the odd decent of the G&M EB endorsement circus? Between this and your obscure position 4 years ago, what's left, really? A dancing elephant in a tutu, anyone?",5.0,5.0,0.8,0.4,0.8,2.0,"
yes
no
no
yes","


discard
","evidence:3
solution:3
dialogue:1
specific_points:1","no_non_con:3
sarcastic:2
unsubstantial:1","teasing:2
no_toxic:1
abusive:1
inflammatory:1
embarrassment:1","



","



","



","



","



",1.0,"But choose , voters must . Apparently not the Globe , though . You have twisted yourselves like a pretzel , into such an untenable position that I am left speechless . Whats next in the odd decent of the G & M EB endorsement circus ? Between this and your obscure position 4 years ago , whats left , really ? A dancing elephant in a tutu , anyone ?"
11866787,2210,source1_11866787_103,"I have no sympathy for most of what Israel has as it has done a lot of things wrong and bulldozing homes, displacing people and occupying areas are not going to get them much in the way of good neighbors. Israel wants to invade, control and spew out propaganda about being attacked when they are the ones who are doing the attacking is nothing I would support nor buy into. Canada should put MacKay, Baird and Harper on a very short leash or Israel is going to cost Canadian taxpayers a lot more than just tax dollars and body bags. They want to start wars, let them take care of it and stop trying to gain any sympathy with the small country, bad neighborhood crap.",5.0,5.0,0.9,0.5,0.8,2.0,"no
yes

not_sure
","discard


not_sure
","solution:3
specific_points:1
no_con:1","provocative:2
no_non_con:2
non_relevant:1
unsubstantial:1","inflammatory:2
no_toxic:2
abusive:1
personal_attack:1
teasing:1","



","



","



","



","



",1.0,"I have no sympathy for most of what Israel has as it has done a lot of things wrong and bulldozing homes , displacing people and occupying areas are not going to get them much in the way of good neighbors . Israel wants to invade , control and spew out propaganda about being attacked when they are the ones who are doing the attacking is nothing I would support nor buy into . Canada should put MacKay , Baird and Harper on a very short leash or Israel is going to cost Canadian taxpayers a lot more than just tax dollars and body bags . They want to start wars , let them take care of it and stop trying to gain any sympathy with the small country , bad neighborhood crap ."
33058362,352,source1_33058362_117,"Today, he sticks foot in mouth with over-the-top Castro worship. Did anyone expect better from our very own global-village idiot? Yesterday, a speech in Madagascar in support of LGBTQ rights. Days before he was in Liberia to espouse the rights of women and girls. Don't get me wrong, these are social important topics. But they are topics about which Canada can do very little in these countries, and as such Trudeau's efforts amount to no more than symbolism; aspirational talks. Before that Trudeau was in Peru, Argentina and Cuba for lavish state dinners and receptions. Obviously, Canada has international relationships and international relationships require attention. That's why we have diplomats. Trudeau's real job is in Canada, and that job is waiting for him at home. Canadians need to hold Trudeau's feet to the fire about this; global aspirational and inspirational speeches and glad-handing at state dinners isn't what Trudeau was elected for. It's not what Canadians expect him to do. Trudeau is abrogating his responsibility to govern by failing to pay attention to the serious but mundane domestic issues that affect all Canadians daily. Not only are we being short-changed by his lack of attendance in, and attention to Canada, it raises the question, 'Who is minding the store?' Because it certainly isn't a person Canadians elected. And that should make us all uneasy.",5.0,5.0,0.9,0.8,0.8,2.0,"
no
yes

no","
discard
keep

","solution:2
dialogue:2
specific_points:2
evidence:1","no_non_con:4
provocative:1","no_toxic:2
abusive:2
personal_attack:2","



","



","



","



","



",1.0,"Today , he sticks foot in mouth with over-the-top Castro worship . Did anyone expect better from our very own global-village idiot ? Yesterday , a speech in Madagascar in support of LGBTQ rights . Days before he was in Liberia to espouse the rights of women and girls . Dont get me wrong , these are social important topics . But they are topics about which Canada can do very little in these countries , and as such Trudeaus efforts amount to no more than symbolism ; aspirational talks . Before that Trudeau was in Peru , Argentina and Cuba for lavish state dinners and receptions . Obviously , Canada has international relationships and international relationships require attention . Thats why we have diplomats . Trudeaus real job is in Canada , and that job is waiting for him at home . Canadians need to hold Trudeaus feet to the fire about this ; global aspirational and inspirational speeches and glad-handing at state dinners isnt what Trudeau was elected for . Its not what Canadians expect him to do . Trudeau is abrogating his responsibility to govern by failing to pay attention to the serious but mundane domestic issues that affect all Canadians daily . Not only are we being short-changed by his lack of attendance in , and attention to Canada , it raises the question , Who is minding the store ? Because it certainly isnt a person Canadians elected . And that should make us all uneasy ."
26055892,2211,source1_26055892_125,"Mr. Harper is very much as bad as he appears. I fully expect that after he has lost the election (as he surely must), we will find that he is worse than we now know. All the skeletons will have emerged from the closet. With this hack piece, Mr. Yakabuski has lost the integrity that readers expect, indeed demand, from professional writers. A writer without integrity is finished; he should find another way to make a living. G&M - the fact that you are publishing articles such as this and censoring legitimate opposing views truly sucks.",5.0,5.0,0.8,0.4,0.8,2.0,"no
no
no

no","discard



","solution:3
specific_points:2
no_con:1","no_non_con:3
provocative:2
no_respect:1
unsubstantial:1","abusive:2
personal_attack:2
teasing:1
no_toxic:1","



","



","



","



","



",1.0,"Mr. Harper is very much as bad as he appears . I fully expect that after he has lost the election ( as he surely must ) , we will find that he is worse than we now know . All the skeletons will have emerged from the closet . With this hack piece , Mr. Yakabuski has lost the integrity that readers expect , indeed demand , from professional writers . A writer without integrity is finished ; he should find another way to make a living . G & M - the fact that you are publishing articles such as this and censoring legitimate opposing views truly sucks ."
19767742,2212,source1_19767742_200,It is obvious that this whole mess was created by the desire forNATO to expand eastward into Ukraine. The western powers have put Russia's head in a vice and are squeezing hard. Russia is not aggressive nor expansionist. The western powers are working on half of big business to expand western territory. They are brutal ruthless and short sighted. This will end badly. For us.,5.0,5.0,0.8,0.8,0.8,2.0,"
no
yes
yes
","
discard

keep
","dialogue:2
personal_story:1
no_con:1
specific_points:1","no_non_con:3
unsubstantial:1
no_respect:1","no_toxic:2
abusive:2
embarrassment:1","



","



","



","



","



",1.0,It is obvious that this whole mess was created by the desire forNATO to expand eastward into Ukraine . The western powers have put Russias head in a vice and are squeezing hard . Russia is not aggressive nor expansionist . The western powers are working on half of big business to expand western territory . They are brutal ruthless and short sighted . This will end badly . For us .
14730628,82,source1_14730628_211,"Regardless, the incidence of naive, privileged Westerners sailing themselves into hotspots is on the rise. I suggest there be an international commission set up of eminent sociologists/psychologists/anthropologists, and see if this trend is growing, and is there anything we can do, to stop Man Made Stupidity....perhaps after a study, they can all sign a petition agreeing with the findings, and then......",5.0,5.0,0.9,1.0,0.8,2.0,"no

yes
yes
no","discard



","dialogue:2
solution:1
personal_story:1
specific_points:1","no_non_con:3
sarcastic:1
provocative:1","abusive:3
no_toxic:2
teasing:1","



","



","



","



","



",1.0,"Regardless , the incidence of naive , privileged Westerners sailing themselves into hotspots is on the rise . I suggest there be an international commission set up of eminent sociologists/psychologists/anthropologists , and see if this trend is growing , and is there anything we can do , to stop Man Made Stupidity ... .perhaps after a study , they can all sign a petition agreeing with the findings , and then ... ..."
26842506,1012,source2_26842506_1094,"Yes Harper must go.My problem with Harper is not economics. I disagree with him big time in foreign policy, foreign military intervention, security policy (C-51). I reject TPP but I blame him for failing to finalize and rectify the trade agreement with the EU. He has exposed himself as a Christian evangelical warmonger, tied this to Canada foreign and military policies, and arrogant enough to think his personal view must be that of the country. Given majority Harper proceeded to run the show all by himself, corrupt the Senate, and got corrupted by power. He forgot to work for the people. Time to exit. But Harper is still right on Trudeau - a pretty face who has learned to talk on the campaign trail. He is nowhere ready to deal with difficulties, run anything less a government. He exemplifies 'talk is cheap'. His Liberal is become socialist welfare and going into deep debt - two big policy loser. Mulcair NDP has assumed the centralist economic policies, and will re-establish Canada proven foreign and military policies. Mulcair has been responsible as Official Opposition. He will get my vote for a chance for government.",5.0,6.0,0.9,0.67,0.8,1.83,"yes

yes
no
yes
","


discard

","specific_points:3
personal_story:2
evidence:2
solution:1
dialogue:1","no_non_con:2
sarcastic:1
unsubstantial:1
provocative:1","personal_attack:4
no_toxic:2
teasing:2
embarrassment:2","



","




","



","



","




",1.0,"Yes Harper must go.My problem with Harper is not economics . I disagree with him big time in foreign policy , foreign military intervention , security policy ( C-51 ) . I reject TPP but I blame him for failing to finalize and rectify the trade agreement with the EU . He has exposed himself as a Christian evangelical warmonger , tied this to Canada foreign and military policies , and arrogant enough to think his personal view must be that of the country . Given majority Harper proceeded to run the show all by himself , corrupt the Senate , and got corrupted by power . He forgot to work for the people . Time to exit . But Harper is still right on Trudeau - a pretty face who has learned to talk on the campaign trail . He is nowhere ready to deal with difficulties , run anything less a government . He exemplifies talk is cheap . His Liberal is become socialist welfare and going into deep debt - two big policy loser . Mulcair NDP has assumed the centralist economic policies , and will re-establish Canada proven foreign and military policies . Mulcair has been responsible as Official Opposition . He will get my vote for a chance for government ."
27730073,2213,source1_27730073_5,"So you finally come out of hiding? Why the G&M gives the second worst premier this country has ever seen (Wynne takes the blue ribbon) a public forum, I do not know why. It his failed green energy policies that has resulted in the obscene increases in hydro in Ontario. As a result, Ontario has lost one of its major economic advantages over other jurisdictions.",5.0,6.0,0.8,0.58,0.8,1.83,"no

yes
no
yes
","


not_sure

","solution:2
personal_story:1
dialogue:1
specific_points:1","no_non_con:3
sarcastic:1
provocative:1","personal_attack:2
no_toxic:2
inflammatory:2
embarrassment:2
teasing:1","



","




","



","



","




",1.0,"So you finally come out of hiding ? Why the G & M gives the second worst premier this country has ever seen ( Wynne takes the blue ribbon ) a public forum , I do not know why . It his failed green energy policies that has resulted in the obscene increases in hydro in Ontario . As a result , Ontario has lost one of its major economic advantages over other jurisdictions ."
18491718,2214,source1_18491718_11,"'Just tell Torontonians the truth.'Truth? You can't handle the truth! The truth is that this entire family is fecked up. The Ford's see themselves as the Kennedys of the North, when in reality, they are the Honey Boo Boo's of the North. They are the poster children for a dysfunctional family. They enable each other, lie for each other, have contempt for everyone who does not agree with them, they are bullies, etc etc. The only thing that will make this all go away is Election day, and when a new Mayor, whomever it ends up being, is elected. Then we can all sit back and watch these grotesque excuses for human beings implode... until then, we have to put up with all this crap from them. Ticking off the days on my calendar...",5.0,5.0,1.0,1.0,0.8,1.8,"

yes
yes
","


keep
","solution:3
specific_points:2
evidence:1
personal_story:1
dialogue:1","no_non_con:4
sarcastic:1
provocative:1","no_toxic:3
abusive:2","



","



","



","



","



",1.0,"Just tell Torontonians the truth.Truth ? You cant handle the truth ! The truth is that this entire family is fecked up . The Fords see themselves as the Kennedys of the North , when in reality , they are the Honey Boo Boos of the North . They are the poster children for a dysfunctional family . They enable each other , lie for each other , have contempt for everyone who does not agree with them , they are bullies , etc etc . The only thing that will make this all go away is Election day , and when a new Mayor , whomever it ends up being , is elected . Then we can all sit back and watch these grotesque excuses for human beings implode ... until then , we have to put up with all this crap from them . Ticking off the days on my calendar ..."
23701139,2215,source1_23701139_112,"This is a classic example of stupid government. Way to go Ontario. What's next psychic surgery? Your government is responsible for any harm that occurs to people through this quackery, they have just recommended them by licensing them. What a sick thing to do.",5.0,5.0,0.6,0.6,0.8,1.8,"yes
no
yes

yes","



","specific_points:2
evidence:1
personal_story:1
solution:1
no_con:1","provocative:2
no_non_con:2
sarcastic:1
unsubstantial:1","no_toxic:2
embarrassment:1
abusive:1
teasing:1","



","



","



","



","



",1.0,"This is a classic example of stupid government . Way to go Ontario . Whats next psychic surgery ? Your government is responsible for any harm that occurs to people through this quackery , they have just recommended them by licensing them . What a sick thing to do ."
25805299,2216,source1_25805299_78,"First of all, Stewart is not an 'elite' liberal, he is simply a 'liberal'. One doesn't need to be an 'elite' to understand what he's been saying. Secondly, considering the alternative to the liberal viewpoint, what ELSE can one possibly feel if it isn't contempt? Nine out of eleven Republican candidates during their last primaries said they believe in Creationism! This is grave! That the supposed cream of Republican politicos put belief against science and reason when determining policy? 'Contempt' is the only word that correctly comes to mind. When most of their leaders and flock ignore or reject Global Warming for decades, either because they are too dumb to understand the science or rather because they don't want anything to get in the way of their bottom lines - well, what else but contempt does one feel for people who can't see further than the nose on their face? I predict that if the Republicans win the next election, it will be the last straw in America's race to the bottom, and it will continually become worse for everyone inside or outside of that country. Then even 'contempt' will be too mild a word to describe the outcome. John Stewart's 'liberal contempt' was justly earned by such Republicans; Obama and the Dems might have made mistakes , but none were because of stupidity, insistence on dogma as opposed to pragmatism.",5.0,5.0,0.8,0.7,0.8,1.8,"


yes
no","


discard
","specific_points:3
personal_story:2
solution:2
evidence:1","no_non_con:4
no_respect:1
provocative:1","no_toxic:3
abusive:1
personal_attack:1
embarrassment:1","



","



","



","



","



",1.0,"First of all , Stewart is not an elite liberal , he is simply a liberal . One doesnt need to be an elite to understand what hes been saying . Secondly , considering the alternative to the liberal viewpoint , what ELSE can one possibly feel if it isnt contempt ? Nine out of eleven Republican candidates during their last primaries said they believe in Creationism ! This is grave ! That the supposed cream of Republican politicos put belief against science and reason when determining policy ? Contempt is the only word that correctly comes to mind . When most of their leaders and flock ignore or reject Global Warming for decades , either because they are too dumb to understand the science or rather because they dont want anything to get in the way of their bottom lines - well , what else but contempt does one feel for people who cant see further than the nose on their face ? I predict that if the Republicans win the next election , it will be the last straw in Americas race to the bottom , and it will continually become worse for everyone inside or outside of that country . Then even contempt will be too mild a word to describe the outcome . John Stewarts liberal contempt was justly earned by such Republicans ; Obama and the Dems might have made mistakes , but none were because of stupidity , insistence on dogma as opposed to pragmatism ."
14730628,341,source1_14730628_16,Supporting the rights of the Palestinian people of Gaza is not the same as supporting Hamas. Opposing the apartheid regime of Israel (Jimmy Carter himself calls it that) is a legitimate and honourable thing to do.But of course Ms. Wente finds commitment to any cause to be rather silly.,5.0,5.0,0.9,0.7,0.8,1.8,"
no
no
not_sure
no","



","specific_points:3
solution:2
evidence:1
dialogue:1
no_con:1","no_non_con:4
unsubstantial:2","no_toxic:1
embarrassment:1
personal_attack:1
teasing:1
inflammatory:1","



","



","



","



","



",1.0,Supporting the rights of the Palestinian people of Gaza is not the same as supporting Hamas . Opposing the apartheid regime of Israel ( Jimmy Carter himself calls it that ) is a legitimate and honourable thing to do.But of course Ms. Wente finds commitment to any cause to be rather silly .
26842506,2217,source1_26842506_385,"This is one of the most inane editorials I've ever read. Have you lost sight of the fact that we have not had a Conservative government for the past 10 years. We've had 'The Harper Government'. How can you separate the two? This is a thoughtless endorsement of a leader who has no respect for the intelligence of the people of this country. I doubt that even The Toronto Sun would publish something as ridiculous and simple-minded as this editorial. As someone who has read your newspaper for many years, I am insulted by this piece of 'double-speak'.",5.0,5.0,0.8,0.6,0.8,1.6,"

yes
not_sure
not_sure","



","specific_points:2
solution:2
no_con:1
evidence:1","no_non_con:2
provocative:1
unsubstantial:1
no_respect:1","no_toxic:3
personal_attack:1
abusive:1","



","



","



","



","



",1.0,"This is one of the most inane editorials Ive ever read . Have you lost sight of the fact that we have not had a Conservative government for the past 10 years . Weve had The Harper Government . How can you separate the two ? This is a thoughtless endorsement of a leader who has no respect for the intelligence of the people of this country . I doubt that even The Toronto Sun would publish something as ridiculous and simple-minded as this editorial . As someone who has read your newspaper for many years , I am insulted by this piece of double-speak ."
11672346,2163,source1_11672346_72,"For those of you who think Justin Trudeau does not have experience to be PM.Well each week I read about Harper's incompetence , is Harper's experience paying off? I would say not. Fighter jet fiasco3 billion $ missing fiascoIrving shipyard getting 280 millions for ship design and they contract the job to a Danish firm for 20 millions. Ambrose stated 'they are complex ships to design'Foreign policy fiasco. unbelieveble",5.0,5.0,0.9,0.9,0.8,1.6,"


yes
yes","


keep
","dialogue:4
evidence:1
personal_story:1
no_con:1
specific_points:1","sarcastic:3
provocative:2
no_non_con:1","no_toxic:3
abusive:1
embarrassment:1","



","



","



","



","



",1.0,"For those of you who think Justin Trudeau does not have experience to be PM.Well each week I read about Harpers incompetence , is Harpers experience paying off ? I would say not . Fighter jet fiasco3 billion $ missing fiascoIrving shipyard getting 280 millions for ship design and they contract the job to a Danish firm for 20 millions . Ambrose stated they are complex ships to designForeign policy fiasco . unbelieveble"
11866787,2218,source1_11866787_128,"'You can't see Iran, but the nuke-crazed mullahs aren't far away.'Best advertisement yet for youngsters. Make sure that you work very hard and go into an occupation where you never have to peddle this type of Israeli propaganda. Think of the shame Maggie must feel going to Israel for a vocation. I mean vacation. These peddlars have been warning us that Iran is minutes away from getting atomic weapons for at least 30 years. Unlike Israel, Iran minds its own business, pays its own way, protects its citizens from cultural filth, never goes to Washington rattling its tin cup and refuses to Central Bank the nation into debt slavery.",5.0,5.0,0.7,0.6,0.8,1.6,"

no
no
","


discard
","specific_points:2
dialogue:2
evidence:1
no_con:1","provocative:3
no_non_con:2","no_toxic:3
inflammatory:2
teasing:1","



","



","



","



","



",1.0,"You cant see Iran , but the nuke-crazed mullahs arent far away.Best advertisement yet for youngsters . Make sure that you work very hard and go into an occupation where you never have to peddle this type of Israeli propaganda . Think of the shame Maggie must feel going to Israel for a vocation . I mean vacation . These peddlars have been warning us that Iran is minutes away from getting atomic weapons for at least 30 years . Unlike Israel , Iran minds its own business , pays its own way , protects its citizens from cultural filth , never goes to Washington rattling its tin cup and refuses to Central Bank the nation into debt slavery ."
18491718,2219,source1_18491718_152,"Rob Ford is sick and should be left alone to heal. Most people understand that. But if the Globe is of a different mindset and is looking for someone to bully and torment then pick on other people who are sick like cripples, people with mental disabilities or people with polio. There is as much fairness in picking on those people as there is in picking on Ford.",5.0,5.0,0.9,0.7,0.8,1.6,"

yes

yes","

discard

","specific_points:3
solution:2
dialogue:1","no_non_con:2
provocative:1
non_relevant:1
unsubstantial:1","no_toxic:4
personal_attack:1","



","



","



","



","



",1.0,"Rob Ford is sick and should be left alone to heal . Most people understand that . But if the Globe is of a different mindset and is looking for someone to bully and torment then pick on other people who are sick like cripples , people with mental disabilities or people with polio . There is as much fairness in picking on those people as there is in picking on Ford ."
18491718,2220,source1_18491718_40,"Hey, the big mouth liar thought jail was the place for addicts to dry out. But not him, he's special. The big mouth liar when asked to have a meeting on Toronto's homeless, many of whom are in the situation because of addiction, said he rather have a public lynching. He's a nasty piece of crap sober or cracked up. He has earned no sympathy. Where ever he is - probably snickering and smoking crack in a high end condo - I hope he stays there.",5.0,5.0,0.9,0.6,0.8,1.6,"


no
","


discard
","dialogue:2
solution:2
no_con:1","no_non_con:4
unsubstantial:1
provocative:1","no_toxic:3
embarrassment:1
abusive:1
personal_attack:1
inflammatory:1
teasing:1","



","



","



","



","



",1.0,"Hey , the big mouth liar thought jail was the place for addicts to dry out . But not him , hes special . The big mouth liar when asked to have a meeting on Torontos homeless , many of whom are in the situation because of addiction , said he rather have a public lynching . Hes a nasty piece of crap sober or cracked up . He has earned no sympathy . Where ever he is - probably snickering and smoking crack in a high end condo - I hope he stays there ."
